company_id,from_year,to_year,previous_pattern,current_pattern
GRASIM,Mar 2017,Mar 2018,Reinvestor,Distress Signal
GRASIM,Mar 2018,Mar 2019,Distress Signal,Growth Funded by Debt
GRASIM,Mar 2019,Mar 2020,Growth Funded by Debt,Reinvestor
GRASIM,Mar 2022,Mar 2023,Reinvestor,Growth Funded by Debt
HAL,Mar 2018,Mar 2019,Other,Distress Signal
HAL,Mar 2019,Mar 2020,Distress Signal,Mixed
HAL,Mar 2020,Mar 2021,Mixed,Reinvestor
HAVELLS,Mar 2018,Mar 2019,Reinvestor,Liquidating Assets
HAVELLS,Mar 2019,Mar 2020,Liquidating Assets,Reinvestor
HAVELLS,Mar 2020,Mar 2021,Reinvestor,Mixed
HAVELLS,Mar 2021,Mar 2022,Mixed,Reinvestor
HAVELLS,Mar 2022,Mar 2023,Reinvestor,Liquidating Assets
HAVELLS,Mar 2023,Mar 2024,Liquidating Assets,Reinvestor
HCLTECH,Mar 2021,Mar 2022,Reinvestor,Liquidating Assets
HCLTECH,Mar 2022,Mar 2023,Liquidating Assets,Reinvestor
HDFCBANK,Mar 2013,Mar 2014,Growth Funded by Debt,Mixed
HDFCBANK,Mar 2014,Mar 2015,Mixed,Growth Funded by Debt
HDFCBANK,Mar 2016,Mar 2017,Growth Funded by Debt,Reinvestor
HDFCBANK,Mar 2017,Mar 2018,Reinvestor,Mixed
HDFCBANK,Mar 2018,Mar 2019,Mixed,Growth Funded by Debt
HDFCBANK,Mar 2020,Mar 2021,Growth Funded by Debt,Reinvestor
HDFCBANK,Mar 2021,Mar 2022,Reinvestor,Growth Funded by Debt
HDFCBANK,Mar 2022,Mar 2023,Growth Funded by Debt,Mixed
HDFCBANK,Mar 2023,Mar 2024,Mixed,Liquidating Assets
HDFCLIFE,Mar 2014,Mar 2015,Pre-Revenue,Reinvestor
HDFCLIFE,Mar 2019,Mar 2020,Reinvestor,Mixed
HDFCLIFE,Mar 2021,Mar 2022,Mixed,Reinvestor
HDFCLIFE,Mar 2022,Mar 2023,Reinvestor,Mixed
HDFCLIFE,Mar 2023,Mar 2024,Mixed,Reinvestor
HEROMOTOCO,Mar 2014,Mar 2015,Reinvestor,Liquidating Assets
HEROMOTOCO,Mar 2015,Mar 2016,Liquidating Assets,Reinvestor
HEROMOTOCO,Mar 2018,Mar 2019,Reinvestor,Liquidating Assets
HEROMOTOCO,Mar 2019,Mar 2020,Liquidating Assets,Reinvestor
HINDALCO,Mar 2014,Mar 2015,Mixed,Reinvestor
HINDALCO,Mar 2017,Mar 2018,Reinvestor,Liquidating Assets
HINDALCO,Mar 2018,Mar 2019,Liquidating Assets,Reinvestor
HINDALCO,Mar 2019,Mar 2020,Reinvestor,Mixed
HINDALCO,Mar 2020,Mar 2021,Mixed,Reinvestor
HINDUNILVR,Mar 2013,Mar 2014,Liquidating Assets,Reinvestor
HINDUNILVR,Mar 2014,Mar 2015,Reinvestor,Liquidating Assets
HINDUNILVR,Mar 2015,Mar 2016,Liquidating Assets,Reinvestor
HINDUNILVR,Mar 2019,Mar 2020,Reinvestor,Liquidating Assets
HINDUNILVR,Mar 2020,Mar 2021,Liquidating Assets,Reinvestor
ICICIBANK,Mar 2014,Mar 2015,Mixed,Growth Funded by Debt
ICICIBANK,Mar 2015,Mar 2016,Growth Funded by Debt,Mixed
ICICIBANK,Mar 2016,Mar 2017,Mixed,Reinvestor
ICICIBANK,Mar 2017,Mar 2018,Reinvestor,Mixed
ICICIBANK,Mar 2018,Mar 2019,Mixed,Reinvestor
ICICIBANK,Mar 2019,Mar 2020,Reinvestor,Mixed
ICICIBANK,Mar 2020,Mar 2021,Mixed,Reinvestor
ICICIBANK,Mar 2021,Mar 2022,Reinvestor,Mixed
ICICIBANK,Mar 2022,Mar 2023,Mixed,Growth Funded by Debt
ICICIBANK,Mar 2023,Mar 2024,Growth Funded by Debt,Mixed
ICICIGI,Mar 2014,Mar 2015,Mixed,Other
ICICIGI,Mar 2015,Mar 2016,Other,Reinvestor
ICICIGI,Mar 2016,Mar 2017,Reinvestor,Mixed
ICICIGI,Mar 2017,Mar 2018,Mixed,Reinvestor
